,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,VSA,Sch1,Sch2,Sch3,Sch4,SchNA
1,35-44,1,Professional certificate/ diploma,UK,Mixed-White/Asian,39.0,36.0,42.0,37.0,42.0,-0.21712,-1.18084,1,1,0,1,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
2,25-34,0,Doctorate degree,UK,White,29.0,52.0,55.0,48.0,41.0,-0.71126,-0.21575,1,1,1,0,1,CL4,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1
3,35-44,0,Professional certificate/ diploma,UK,White,31.0,45.0,40.0,32.0,34.0,-1.37983,0.40148,1,0,0,0,1,CL3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
4,18-24,1,Masters degree,UK,White,34.0,34.0,46.0,47.0,46.0,-1.37983,-1.18084,1,0,0,1,1,CL2,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1
5,35-44,1,Doctorate degree,UK,White,43.0,28.0,43.0,41.0,50.0,-0.21712,-0.21575,1,1,1,0,1,CL3,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1
6,65+,1,Left school at 18 years,Canada,White,29.0,38.0,35.0,55.0,52.0,-1.37983,-1.54858,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7,45-54,0,Masters degree,USA,White,31.0,32.0,43.0,41.0,48.0,-0.21712,0.07987,1,0,0,0,1,CL1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
8,35-44,0,Left school at 16 years,UK,White,24.0,52.0,40.0,41.0,52.0,0.19268,-0.52593,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,35-44,1,Professional certificate/ diploma,Canada,White,42.0,55.0,39.0,48.0,49.0,-1.37983,-1.54858,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
10,55-64,0,Masters degree,UK,White,33.0,40.0,36.0,47.0,43.0,-1.37983,-0.84637,1,1,0,1,1,CL1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
11,25-34,1,University degree,UK,White,26.0,45.0,38.0,38.0,53.0,0.19268,0.07987,1,0,1,0,1,CL2,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
12,45-54,0,"Some college or university, no certificate or degree",Other,White,24.0,40.0,47.0,30.0,38.0,0.52975,1.2247,1,1,0,0,1,CL4,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1
13,55-64,1,University degree,UK,White,56.0,41.0,49.0,32.0,36.0,1.29221,0.07987,1,1,0,1,1,CL3,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1
14,55-64,1,Professional certificate/ diploma,Canada,White,28.0,45.0,46.0,49.0,59.0,-0.71126,-0.84637,1,0,0,0,1,CL0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
15,55-64,1,Professional certificate/ diploma,UK,White,27.0,49.0,49.0,39.0,52.0,1.29221,0.7654,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
16,55-64,0,University degree,UK,White,19.0,29.0,35.0,36.0,49.0,-0.71126,-0.52593,1,1,1,0,1,CL1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
17,35-44,1,"Some college or university, no certificate or degree",UK,White,22.0,34.0,34.0,45.0,47.0,-0.21712,-2.07848,1,0,0,1,1,CL3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
18,45-54,0,Left school at 16 years,UK,White,41.0,31.0,44.0,40.0,31.0,-1.37983,-0.84637,1,1,1,0,1,CL6,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1
19,55-64,0,University degree,-0.09765,White,49.0,39.0,45.0,30.0,30.0,-0.71126,-0.21575,1,1,0,1,1,CL3,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1
20,35-44,0,Professional certificate/ diploma,UK,White,32.0,27.0,29.0,30.0,47.0,-1.37983,-2.07848,1,1,0,0,1,CL1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1
21,45-54,0,Professional certificate/ diploma,UK,White,28.0,45.0,51.0,53.0,33.0,0.19268,-0.21575,1,1,1,0,1,CL2,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1
22,65+,0,-2.43591,UK,White,25.0,43.0,38.0,39.0,53.0,-0.21712,-1.18084,1,0,0,0,1,CL1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
23,45-54,0,University degree,UK,White,40.0,33.0,40.0,50.0,35.0,-0.71126,0.07987,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,45-54,0,Left school at 16 years,UK,White,51.0,16.0,37.0,45.0,34.0,-1.37983,-1.54858,1,1,1,1,1,CL2,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1
25,55-64,0,University degree,UK,White,34.0,44.0,54.0,48.0,51.0,-0.21712,-0.52593,1,1,1,1,1,CL1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1
26,45-54,0,"Some college or university, no certificate or degree",UK,White,28.0,37.0,37.0,49.0,42.0,-0.21712,0.40148,1,1,1,0,1,CL1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1
27,55-64,1,Left school at 18 years,Canada,White,35.0,28.0,24.0,38.0,46.0,0.19268,-1.54858,1,0,0,1,1,CL1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
28,35-44,0,University degree,UK,White,41.0,31.0,46.0,43.0,25.0,1.86203,0.40148,1,1,1,1,1,CL6,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
29,35-44,1,Masters degree,UK,White,36.0,29.0,41.0,45.0,50.0,0.19268,-0.52593,1,0,0,0,1,CL1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,45-54,0,Doctorate degree,UK,White,24.0,51.0,52.0,49.0,53.0,-0.21712,-0.52593,0,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,45-54,0,Left school at 16 years,UK,White,39.0,34.0,37.0,33.0,37.0,-1.37983,0.07987,1,1,1,1,1,CL2,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1
32,35-44,1,Left school at 16 years,Other,White,25.0,34.0,47.0,39.0,42.0,-1.37983,-0.84637,1,0,0,1,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
33,35-44,0,University degree,UK,White,28.0,31.0,46.0,46.0,42.0,0.19268,-0.84637,1,1,1,0,1,CL3,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1
34,18-24,0,University degree,UK,White,40.0,38.0,48.0,51.0,41.0,-0.71126,-1.54858,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,35-44,0,University degree,USA,Other,46.0,44.0,52.0,23.0,36.0,0.52975,1.92173,1,1,1,1,1,CL2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,65+,0,-2.43591,UK,White,33.0,34.0,28.0,41.0,36.0,0.52975,-1.54858,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
37,35-44,0,University degree,UK,White,33.0,36.0,45.0,43.0,30.0,-0.21712,-0.21575,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,55-64,0,-2.43591,USA,White,39.0,42.0,53.0,44.0,37.0,0.52975,-0.52593,1,1,1,1,1,CL3,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1
39,45-54,0,University degree,UK,White,22.0,48.0,48.0,43.0,47.0,-0.21712,-0.84637,1,1,0,0,1,CL1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1
40,65+,1,Professional certificate/ diploma,UK,White,33.0,33.0,38.0,38.0,45.0,-1.37983,-0.21575,1,0,0,0,1,CL1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1
41,35-44,0,Masters degree,UK,White,36.0,37.0,46.0,29.0,47.0,-0.71126,0.07987,1,1,0,1,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
42,35-44,1,University degree,UK,White,44.0,40.0,53.0,54.0,39.0,-0.21712,-0.21575,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
43,35-44,0,Masters degree,UK,White,34.0,33.0,37.0,43.0,37.0,-0.21712,-0.52593,1,0,1,1,1,CL2,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1
44,35-44,0,Professional certificate/ diploma,UK,White,27.0,36.0,44.0,42.0,34.0,-0.21712,-0.21575,1,1,1,0,1,CL3,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1
45,25-34,0,University degree,UK,Other,26.0,49.0,49.0,51.0,48.0,-0.21712,0.07987,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
46,25-34,1,University degree,UK,White,31.0,43.0,54.0,49.0,52.0,-1.37983,-2.07848,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,45-54,1,"Some college or university, no certificate or degree",Canada,White,39.0,44.0,38.0,45.0,51.0,-0.71126,-0.84637,1,0,0,0,1,CL1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1
48,45-54,0,Masters degree,UK,White,19.0,45.0,48.0,49.0,49.0,-2.55524,-1.18084,1,0,0,0,1,CL1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
